region_name,GDP_pc,population,GDP
Anhui,5779,61133,353311
Beijing,17064,21611,368772
Chongqing,8402,30040,252388
Fujian,10912,38225,417119
Gansu,4201,25952,109022
Guangdong,10838,107865,1169041
Guangxi,5650,47750,269782
Guizhou,4792,35188,168624
Hainan,6554,9072,59450
Hebei,6463,74043,478552
Heilongjiang,6318,38330,242176
Henan,6283,94580,594218
Hubei,8133,58338,474443
Hunan,6899,67601,466367
Jiangsu,14128,79682,1125753
Jiangxi,5896,45539,268508
Jilin,8325,27528,229178
Liaoning,10520,43867,461489
Nei Mongol,11544,25079,289525
Ningxia Hui,7033,6647,46750
Qinghai,6623,5859,38807
Shaanxi,7710,37840,291758
Shandong,10302,98183,1011533
Shanghai,16560,24205,400825
Shanxi,5622,36560,205552
Sichuan,5914,81721,483320
Taiwan,22469,23500,528000
Tianjin,17334,15319,265529
Xinjiang Uygur,6428,23292,149714
Xizang,5138,3208,16479
Yunnan,4658,47279,220247
Zhejiang,12466,55235,688564
